"Time (s)","Latitude (째)","Longitude (째)","Height (m)","Velocity (m/s)","Direction (째)","Horizontal Accuracy (m)","Vertical Accuracy (째)"
2.153884507E2,6.501255002E1,2.550199463E1,1.798817617E1,1.578682458E0,3.254325899E1,9.483434695E0,1.283450328E1
2.163884461E2,6.501256309E1,2.550201491E1,1.808064468E1,1.540134249E0,3.297219971E1,9.537611771E0,1.334685624E1
2.173884413E2,6.501257446E1,2.550202697E1,1.834283140E1,1.378156546E0,2.831835383E1,9.537611817E0,1.334277608E1
2.183884373E2,6.501258586E1,2.550204851E1,1.871985917E1,1.481573686E0,3.589492956E1,9.584502672E0,1.326683759E1
2.193884325E2,6.501260169E1,2.550206597E1,1.849703212E1,1.641464771E0,3.037107519E1,9.476799669E0,1.304981033E1
2.203884290E2,6.501261540E1,2.550208154E1,1.833357293E1,1.551577561E0,2.984154235E1,9.476799685E0,1.308333377E1
2.213884238E2,6.501262485E1,2.550209965E1,1.804729781E1,1.414443177E0,3.457760997E1,9.529315421E0,1.311343642E1
2.223884199E2,6.501263664E1,2.550211541E1,1.791365395E1,1.484330252E0,3.119096096E1,9.723649090E0,1.297594165E1
2.233884156E2,6.501264591E1,2.550213380E1,1.807268852E1,1.474730022E0,2.927015258E1,9.618337236E0,1.294741071E1
2.243884116E2,6.501265821E1,2.550215317E1,1.757647941E1,1.554430302E0,2.890164559E1,9.618337154E0,1.334089614E1
2.253884069E2,6.501267182E1,2.550217249E1,1.711245217E1,1.589767611E0,3.209826694E1,9.623717966E0,1.303357351E1
2.263884029E2,6.501268225E1,2.550219074E1,1.719481007E1,1.442233225E0,2.771280438E1,9.623717877E0,1.355681445E1
2.273883984E2,6.501269453E1,2.550221484E1,1.688225117E1,1.591642472E0,3.921641710E1,9.623717822E0,1.364711394E1
2.283883940E2,6.501270447E1,2.550221668E1,1.619323285E1,1.309269597E0,2.466116360E1,9.703027070E0,1.346605822E1
2.293883902E2,6.501271395E1,2.550223851E1,1.611688266E1,1.461800261E0,3.356769243E1,9.661434655E0,1.296765446E1
2.303883855E2,6.501272718E1,2.550226177E1,1.600791069E1,1.601234180E0,3.415976052E1,9.691158817E0,1.316906944E1
2.313883810E2,6.501274243E1,2.550228301E1,1.635639238E1,1.506994040E0,3.380000364E1,9.559467215E0,1.358913715E1
2.323883761E2,6.501275452E1,2.550229694E1,1.641470457E1,1.503267811E0,3.087192198E1,9.583466776E0,1.353735643E1
2.333883723E2,6.501276919E1,2.550231739E1,1.668336266E1,1.557775601E0,2.888685813E1,9.561668596E0,1.354434030E1
2.343883679E2,6.501278218E1,2.550234391E1,1.737481416E1,1.539219713E0,3.459217864E1,9.561668528E0,1.377897628E1
2.353883638E2,6.501279523E1,2.550235540E1,1.729214528E1,1.467312863E0,3.016111851E1,9.630216451E0,1.354495978E1
2.363883593E2,6.501280785E1,2.550237562E1,1.718929678E1,1.613742203E0,3.354557712E1,9.630216496E0,1.320218688E1
2.373883545E2,6.501281626E1,2.550239410E1,1.731659413E1,1.453692153E0,3.353443619E1,9.532228138E0,1.307345611E1
2.383883502E2,6.501282744E1,2.550241343E1,1.719481155E1,1.494852751E0,3.103062529E1,9.305131078E0,1.312653826E1
2.393883467E2,6.501283809E1,2.550243058E1,1.715288248E1,1.531990295E0,3.540681005E1,9.148407466E0,1.283394947E1
2.403883423E2,6.501285247E1,2.550244373E1,1.708455314E1,1.637775719E0,3.066368676E1,8.944795551E0,1.256373134E1
2.413883376E2,6.501286552E1,2.550246772E1,1.722717784E1,1.501591379E0,3.271995950E1,8.935403302E0,1.218505743E1
2.423883332E2,6.501288078E1,2.550248600E1,1.774935187E1,1.405598694E0,3.164159695E1,8.935403224E0,1.266636367E1
2.433883296E2,6.501289631E1,2.550250896E1,1.813152476E1,1.450031513E0,3.149061244E1,8.935403217E0,1.262584627E1
2.443883246E2,6.501290684E1,2.550253334E1,1.821895326E1,1.332639471E0,2.966664960E1,8.935403282E0,1.226187560E1
2.453883208E2,6.501291908E1,2.550255303E1,1.817997998E1,1.422184935E0,3.274582500E1,8.935403273E0,1.205523576E1
2.463883157E2,6.501293074E1,2.550257236E1,1.806136306E1,1.436010245E0,3.432500156E1,8.808381296E0,1.177668470E1
2.473883115E2,6.501294393E1,2.550259603E1,1.802914882E1,1.548878625E0,3.401518674E1,8.968164374E0,1.217817518E1
2.483883077E2,6.501295699E1,2.550261236E1,1.783600007E1,1.533374629E0,3.219205838E1,9.081998107E0,1.241365153E1
2.493883028E2,6.501296527E1,2.550263088E1,1.808100820E1,1.451595807E0,3.624010539E1,8.939677212E0,1.221375101E1
2.503882992E2,6.501297468E1,2.550264373E1,1.786588361E1,1.524112411E0,3.248320120E1,9.119311360E0,1.246272005E1
2.513882945E2,6.501298532E1,2.550266324E1,1.737674692E1,1.369165550E0,3.722601892E1,9.119311371E0,1.241251201E1
2.523882904E2,6.501300036E1,2.550268304E1,1.734331102E1,1.565652291E0,3.190610358E1,9.303199159E0,1.247668585E1
2.533882855E2,6.501301166E1,2.550270611E1,1.754476655E1,1.354585926E0,3.262298265E1,9.234613900E0,1.249693508E1
2.543882811E2,6.501302408E1,2.550272295E1,1.756925679E1,1.489051309E0,3.293909516E1,9.234613928E0,1.223883593E1
2.553882774E2,6.501303196E1,2.550273828E1,1.757006695E1,1.242088218E0,3.691013535E1,9.372993375E0,1.263138032E1
2.563882725E2,6.501304492E1,2.550276073E1,1.769055675E1,1.454939922E0,3.688949842E1,9.349260005E0,1.251272964E1
2.573882685E2,6.501305513E1,2.550277671E1,1.815364844E1,1.422072633E0,3.588874122E1,9.327066265E0,1.219590574E1
2.583882645E2,6.501306113E1,2.550280626E1,1.852924404E1,1.331152584E0,5.148738524E1,9.230244372E0,1.209876531E1
2.593893392E2,6.501306411E1,2.550284081E1,1.819716253E1,1.313543407E0,7.499185313E1,9.357774811E0,1.224955787E1
2.603893296E2,6.501306319E1,2.550287921E1,1.828468791E1,1.503281363E0,8.099024103E1,9.362515425E0,1.301571949E1
2.613893250E2,6.501305765E1,2.550291911E1,1.889985642E1,1.537552174E0,9.875680250E1,9.571916501E0,1.361941355E1
2.623897001E2,6.501305295E1,2.550295629E1,1.861815736E1,1.475859050E0,9.939066019E1,9.976930762E0,1.445492465E1
2.633890830E2,6.501304628E1,2.550299254E1,1.883576931E1,1.602887028E0,1.045434977E2,1.006486510E1,1.492593279E1
2.643890793E2,6.501303942E1,2.550302741E1,1.902330018E1,1.507627973E0,1.106623389E2,1.006486519E1,1.484042691E1
2.653892852E2,6.501303158E1,2.550306116E1,1.882028943E1,1.563214329E0,1.132171060E2,1.008838592E1,1.552506730E1
2.663895862E2,6.501302431E1,2.550309299E1,1.853780704E1,1.553826845E0,1.158105619E2,1.020277058E1,1.538800513E1
2.673895814E2,6.501301551E1,2.550312187E1,1.826917559E1,1.481512989E0,1.203989473E2,1.021552931E1,1.538100801E1
2.683900136E2,6.501300792E1,2.550315402E1,1.872192998E1,1.529744903E0,1.190790433E2,1.027852772E1,1.575448547E1
2.693896362E2,6.501300250E1,2.550317873E1,1.848071067E1,1.428210273E0,1.195430356E2,1.027852774E1,1.579569006E1
2.703896310E2,6.501299688E1,2.550320580E1,1.831454296E1,1.508860847E0,1.204065249E2,1.027852772E1,1.569539675E1
2.713895055E2,6.501298842E1,2.550323018E1,1.816979687E1,1.531537535E0,1.178065121E2,1.013858045E1,1.497602933E1
2.723897839E2,6.501297807E1,2.550326326E1,1.767696058E1,1.564729424E0,1.177147815E2,1.001989286E1,1.520326199E1
2.733897800E2,6.501297069E1,2.550328719E1,1.819941470E1,1.402221678E0,1.176724655E2,1.001989288E1,1.534546270E1
2.743897754E2,6.501296282E1,2.550331296E1,1.783804830E1,1.389615296E0,1.178929766E2,9.983923117E0,1.483315653E1
2.753897709E2,6.501295503E1,2.550334470E1,1.797164638E1,1.612587419E0,1.225498047E2,9.844087715E0,1.516758277E1
2.763897667E2,6.501295081E1,2.550337301E1,1.812103098E1,1.535908207E0,1.186674954E2,9.845638903E0,1.550342837E1
2.773897624E2,6.501294529E1,2.550339868E1,1.807473543E1,1.535220495E0,1.179360324E2,9.887419931E0,1.481522301E1
2.783897576E2,6.501293840E1,2.550342031E1,1.804155908E1,1.544585536E0,1.231152896E2,1.001105745E1,1.520211110E1
2.793897537E2,6.501293278E1,2.550344345E1,1.840475847E1,1.413283730E0,1.196509223E2,1.001105744E1,1.544346002E1
2.803897493E2,6.501292344E1,2.550346587E1,1.830701667E1,1.438130136E0,1.220224747E2,9.875970181E0,1.485259541E1
2.813897448E2,6.501291722E1,2.550349829E1,1.812435808E1,1.502164815E0,1.223850674E2,9.815283117E0,1.407383142E1
2.823897412E2,6.501290647E1,2.550352485E1,1.770743516E1,1.573397370E0,1.272644824E2,9.799167554E0,1.439578018E1
2.833897364E2,6.501289484E1,2.550354917E1,1.728822205E1,1.502814989E0,1.257004913E2,9.859468216E0,1.454845593E1
2.843897320E2,6.501288491E1,2.550358121E1,1.719460691E1,1.558036798E0,1.261176470E2,9.900379463E0,1.443012568E1
2.853897272E2,6.501287907E1,2.550360107E1,1.692493185E1,1.425148648E0,1.241368304E2,1.004087877E1,1.423112155E1
2.863897238E2,6.501287259E1,2.550363246E1,1.700563140E1,1.383895682E0,1.209128513E2,9.968291686E0,1.344687194E1
2.873897195E2,6.501286532E1,2.550366339E1,1.724864921E1,1.518615643E0,1.194881609E2,9.822623991E0,1.333413041E1
2.883897151E2,6.501285828E1,2.550368863E1,1.710348863E1,1.403754695E0,1.243798202E2,9.811442122E0,1.312170558E1
2.893897103E2,6.501285384E1,2.550371955E1,1.703342930E1,1.451581729E0,1.185152781E2,9.822577355E0,1.322741746E1
2.903897064E2,6.501284315E1,2.550374364E1,1.678771565E1,1.425647778E0,1.251976001E2,9.877176014E0,1.328921346E1
2.913897018E2,6.501283454E1,2.550376972E1,1.674868314E1,1.432828305E0,1.309525053E2,9.877176049E0,1.329295319E1
2.923896976E2,6.501282437E1,2.550378955E1,1.647996123E1,1.460715495E0,1.406693488E2,9.954860157E0,1.357290797E1
2.933896933E2,6.501280846E1,2.550380380E1,1.627729082E1,1.427362708E0,1.542161481E2,9.993780113E0,1.387721054E1
2.943896892E2,6.501279234E1,2.550380838E1,1.581469280E1,1.516010291E0,1.628573676E2,9.925786441E0,1.342189115E1
2.953896848E2,6.501277755E1,2.550380287E1,1.557871178E1,1.446983971E0,1.759488428E2,9.778250229E0,1.386819285E1
2.963896800E2,6.501276569E1,2.550379466E1,1.553479229E1,1.465267011E0,1.790006729E2,9.569030212E0,1.305579229E1
2.973896759E2,6.501275193E1,2.550378304E1,1.534399754E1,1.462435368E0,1.909848878E2,9.569030274E0,1.336817147E1
2.983896712E2,6.501273764E1,2.550376926E1,1.510784343E1,1.575020343E0,1.911668951E2,9.569030279E0,1.318858170E1
2.993896670E2,6.501272396E1,2.550376290E1,1.505281088E1,1.525869150E0,1.915406640E2,9.569030326E0,1.354938743E1
3.003896633E2,6.501271203E1,2.550375035E1,1.483269514E1,1.539658417E0,1.924341732E2,9.570354889E0,1.272358965E1
3.013896580E2,6.501270080E1,2.550374304E1,1.470772932E1,1.415802867E0,1.918702743E2,9.570354881E0,1.273948130E1
3.023896543E2,6.501268792E1,2.550372982E1,1.507646891E1,1.318358081E0,1.911284740E2,9.405361387E0,1.279592780E1
3.033896501E2,6.501267060E1,2.550374123E1,1.511947256E1,1.363731248E0,1.715350051E2,9.350059962E0,1.266355256E1
3.043896456E2,6.501265896E1,2.550377375E1,1.481768522E1,1.307158094E0,1.380158330E2,9.349772628E0,1.295660948E1
3.053896408E2,6.501265653E1,2.550382163E1,1.530673957E1,1.427830406E0,1.105461576E2,9.212816573E0,1.250073531E1
3.063896370E2,6.501266091E1,2.550384918E1,1.576446845E1,1.324867673E0,9.886078966E1,9.137186513E0,1.216393775E1
3.073896327E2,6.501266921E1,2.550387972E1,1.562163360E1,1.203501565E0,6.689493136E1,9.197374542E0,1.252374909E1
3.083896283E2,6.501267925E1,2.550391112E1,1.557306231E1,1.383555041E0,6.452737348E1,9.175794976E0,1.285501259E1
3.093896242E2,6.501269525E1,2.550392780E1,1.561497920E1,1.381117277E0,4.218856562E1,9.311017710E0,1.307425962E1
3.103896191E2,6.501271024E1,2.550394830E1,1.585177575E1,1.612727638E0,3.881412557E1,9.311017763E0,1.254622490E1
3.113896148E2,6.501272481E1,2.550396634E1,1.606290420E1,1.552443363E0,3.690396375E1,9.299232897E0,1.276123660E1
3.123896106E2,6.501273954E1,2.550397913E1,1.597398829E1,1.616098381E0,3.135891427E1,9.299232887E0,1.271937722E1
3.133896064E2,6.501275391E1,2.550398974E1,1.587573774E1,1.598473737E0,2.592712434E1,9.108407051E0,1.232076699E1
3.143896025E2,6.501276564E1,2.550400200E1,1.583001887E1,1.377420640E0,2.646727290E1,9.043767315E0,1.222521122E1
3.153895978E2,6.501278049E1,2.550401922E1,1.558880722E1,1.473399117E0,2.097466692E1,8.912199530E0,1.197316267E1
3.163895940E2,6.501279122E1,2.550403949E1,1.567829739E1,1.504009281E0,2.053835889E1,8.848326799E0,1.150817130E1
3.173895897E2,6.501280960E1,2.550406399E1,1.575619775E1,1.690644614E0,2.313031120E1,8.801778854E0,1.115047456E1
3.183895851E2,6.501282372E1,2.550407665E1,1.596075235E1,1.422766606E0,2.181142152E1,8.741769958E0,1.088969942E1
3.193895807E2,6.501284147E1,2.550408486E1,1.576934425E1,1.572773030E0,1.874715438E1,8.701183887E0,1.147817092E1
3.203895760E2,6.501285552E1,2.550409667E1,1.573730666E1,1.552711500E0,1.716615018E1,8.701183929E0,1.116069633E1
3.213895720E2,6.501286696E1,2.550410933E1,1.599829583E1,1.542543166E0,2.029092916E1,8.701183978E0,1.086942431E1
3.223895671E2,6.501288529E1,2.550411811E1,1.590130679E1,1.527210356E0,1.863920687E1,8.701183930E0,1.123456431E1
3.233895638E2,6.501290152E1,2.550412390E1,1.571246469E1,1.562223116E0,1.835389214E1,8.525822950E0,1.060251605E1
3.243895594E2,6.501291201E1,2.550412995E1,1.555299363E1,1.494824961E0,2.154654057E1,8.525822920E0,1.078203008E1
3.253895541E2,6.501292318E1,2.550413665E1,1.539584684E1,1.410059205E0,1.954513183E1,8.660489754E0,1.052453027E1
3.263895508E2,6.501293555E1,2.550414850E1,1.505877731E1,1.431863193E0,1.862601851E1,8.991214995E0,1.074749623E1
3.273895457E2,6.501294483E1,2.550415322E1,1.493438959E1,1.388014182E0,2.041864409E1,8.798163931E0,1.059592958E1
3.283895411E2,6.501296158E1,2.550416621E1,1.510835218E1,1.483458104E0,1.989617905E1,8.814500064E0,1.077605781E1
3.293895378E2,6.501297921E1,2.550417441E1,1.529892257E1,1.574976551E0,2.025710716E1,8.904077666E0,1.128047230E1
3.303895335E2,6.501298669E1,2.550418032E1,1.523649809E1,1.209243471E0,2.261245064E1,8.786840343E0,1.132567562E1
3.313895286E2,6.501300118E1,2.550419857E1,1.533134827E1,1.405654098E0,2.316963222E1,8.793220650E0,1.083618816E1
3.323895247E2,6.501301338E1,2.550420937E1,1.549853861E1,1.449214218E0,2.030107040E1,8.799224785E0,1.059494627E1
3.333895202E2,6.501302199E1,2.550422320E1,1.560404577E1,1.457425833E0,1.957736999E1,8.808412200E0,1.056876890E1
3.343895160E2,6.501303371E1,2.550423363E1,1.534070156E1,1.469318854E0,2.445000582E1,8.790008624E0,1.064282331E1
3.353895110E2,6.501304575E1,2.550424607E1,1.523694816E1,1.462154419E0,2.641169443E1,8.736213900E0,1.013269831E1
3.363895074E2,6.501305238E1,2.550426553E1,1.496763956E1,1.253958784E0,3.188679941E1,8.919194293E0,1.011636594E1
3.373895031E2,6.501306640E1,2.550427774E1,1.474141360E1,1.299573178E0,2.699738916E1,8.919194288E0,9.943194771E0
3.383894981E2,6.501307736E1,2.550429919E1,1.470643935E1,1.431998310E0,3.334505704E1,9.073657170E0,9.728510664E0
3.393894942E2,6.501309347E1,2.550431929E1,1.456191391E1,1.515094957E0,2.759910494E1,9.104872256E0,9.849323660E0
3.403894901E2,6.501310202E1,2.550432858E1,1.459709810E1,1.214231631E0,2.528087526E1,9.104872280E0,9.739509291E0
3.413894852E2,6.501311564E1,2.550434261E1,1.451904832E1,1.389241662E0,2.363258499E1,9.242583335E0,1.016174818E1
3.423894814E2,6.501312950E1,2.550436019E1,1.392139820E1,1.449286301E0,2.922375109E1,9.242583332E0,1.020087165E1
3.433894770E2,6.501314148E1,2.550437904E1,1.425526707E1,1.301309861E0,3.381071828E1,9.265934194E0,1.022478627E1
3.443894727E2,6.501315264E1,2.550440067E1,1.433800074E1,1.502051896E0,3.713414299E1,9.265934124E0,1.044444860E1
3.453894677E2,6.501316322E1,2.550440990E1,1.480613149E1,1.261492035E0,2.832310952E1,9.282855700E0,1.041442783E1
3.463894641E2,6.501317587E1,2.550443097E1,1.504702368E1,1.340739075E0,2.686692696E1,9.372770931E0,1.030195408E1
3.473894595E2,6.501318807E1,2.550445541E1,1.448093268E1,1.411646557E0,3.270940390E1,9.345234691E0,1.024774736E1
3.483894552E2,6.501320616E1,2.550446922E1,1.544479962E1,1.473330831E0,2.218434515E1,9.285394126E0,1.051111135E1
3.493894503E2,6.501321959E1,2.550449149E1,1.620835377E1,1.479030528E0,3.192444249E1,9.320803705E0,1.033215453E1
3.503894461E2,6.501323577E1,2.550450997E1,1.612400494E1,1.681517504E0,2.724255291E1,9.256616328E0,1.073174621E1
3.513894416E2,6.501324238E1,2.550452854E1,1.588409032E1,1.223013137E0,3.877531769E1,9.113692968E0,1.051784124E1
3.523894372E2,6.501325362E1,2.550455511E1,1.570541378E1,1.422967955E0,3.693905184E1,9.042843108E0,1.062588041E1
3.533894334E2,6.501326409E1,2.550457760E1,1.562711473E1,1.431469146E0,3.463247310E1,9.006278885E0,1.090614848E1
3.543894292E2,6.501327604E1,2.550460154E1,1.557267089E1,1.512746896E0,3.461245499E1,8.987268149E0,1.053208478E1
3.553894252E2,6.501329119E1,2.550461612E1,1.564320836E1,1.468510825E0,3.185462341E1,9.107017982E0,1.108381296E1
3.563894206E2,6.501330144E1,2.550462898E1,1.568575235E1,1.255110221E0,3.375813101E1,9.042958235E0,1.114161279E1
3.573894157E2,6.501331889E1,2.550465065E1,1.625326691E1,1.569643085E0,3.750390391E1,9.041562787E0,1.149416943E1
3.583894116E2,6.501333206E1,2.550466440E1,1.598593001E1,1.317518363E0,3.388882949E1,9.019972780E0,1.117656292E1
3.593894075E2,6.501333898E1,2.550468379E1,1.587181893E1,1.208089417E0,3.799902198E1,9.123281081E0,1.148311518E1
3.603894027E2,6.501335273E1,2.550469719E1,1.558256929E1,1.356503575E0,2.830423577E1,9.232012369E0,1.129613502E1
3.613893982E2,6.501336677E1,2.550471651E1,1.522654150E1,1.538507065E0,2.924433829E1,9.248666899E0,1.176787746E1
3.623893944E2,6.501337780E1,2.550474624E1,1.549303678E1,1.563814289E0,3.597832122E1,9.338773943E0,1.157101670E1
3.633893903E2,6.501339142E1,2.550476337E1,1.587299659E1,1.423986408E0,3.456694062E1,9.338774015E0,1.130152568E1
3.643893859E2,6.501340307E1,2.550477986E1,1.579470217E1,1.456155427E0,3.015694560E1,9.302686664E0,1.150976519E1
3.653893815E2,6.501341324E1,2.550479616E1,1.624784877E1,1.300744805E0,3.281433628E1,9.225767712E0,1.114253387E1
3.663893768E2,6.501342454E1,2.550480674E1,1.579133145E1,1.288860139E0,3.040072087E1,9.382097127E0,1.130109803E1
3.673893727E2,6.501343662E1,2.550482786E1,1.583528316E1,1.467227675E0,3.582194322E1,9.382097041E0,1.158792025E1
3.683893685E2,6.501345101E1,2.550484942E1,1.608918476E1,1.499274183E0,3.001208293E1,9.646174207E0,1.210756854E1
3.693893641E2,6.501346109E1,2.550487008E1,1.629811839E1,1.485876307E0,3.004406631E1,9.568597481E0,1.184934132E1
3.703893598E2,6.501347701E1,2.550489164E1,1.613863620E1,1.653082014E0,2.486276120E1,9.485134182E0,1.167288512E1
3.713893553E2,6.501348834E1,2.550490347E1,1.735844333E1,1.306513499E0,2.267750611E1,9.581820533E0,1.224979851E1
3.723893512E2,6.501349944E1,2.550492582E1,1.723684760E1,1.426813932E0,3.210047548E1,9.581820479E0,1.248871586E1
3.733893468E2,6.501351426E1,2.550493496E1,1.719056056E1,1.317833287E0,2.638683543E1,9.429251585E0,1.231810645E1
3.743893422E2,6.501352851E1,2.550494865E1,1.767870328E1,1.389086167E0,2.390249433E1,9.327790894E0,1.188218443E1
3.753893380E2,6.501354130E1,2.550497052E1,1.842443731E1,1.350987473E0,2.764137979E1,9.159884519E0,1.208486245E1
3.763893341E2,6.501355427E1,2.550499243E1,1.852582239E1,1.476475140E0,2.864417583E1,9.159884551E0,1.183318495E1
3.773893296E2,6.501357014E1,2.550502122E1,1.856557655E1,1.606080271E0,3.225315147E1,9.296634588E0,1.223103287E1
3.783893249E2,6.501357460E1,2.550502163E1,1.862925153E1,9.733317489E-1,2.117390696E1,9.262378478E0,1.167392108E1
3.793893206E2,6.501359247E1,2.550504068E1,1.906726870E1,1.629379394E0,2.669171540E1,9.222424202E0,1.170616110E1
3.803893160E2,6.501360679E1,2.550505025E1,1.941780729E1,1.539782691E0,2.318424833E1,9.196987140E0,1.133501231E1
3.813893125E2,6.501361832E1,2.550506417E1,1.926152661E1,1.253386229E0,2.687015435E1,9.362280224E0,1.157663979E1
3.823893077E2,6.501363304E1,2.550507991E1,1.915561276E1,1.357815930E0,2.547130253E1,9.362280164E0,1.200648191E1
3.833893032E2,6.501364412E1,2.550509537E1,1.868848751E1,1.376784312E0,3.252439402E1,9.553930080E0,1.230701991E1
3.843892989E2,6.501365735E1,2.550511041E1,1.855571825E1,1.301552955E0,2.125993279E1,9.553930096E0,1.249671099E1
3.853906254E2,6.501367430E1,2.550513043E1,1.884558621E1,1.486089188E0,1.736175635E1,9.727004161E0,1.296549098E1
3.863896010E2,6.501368694E1,2.550513160E1,1.866459700E1,1.350779595E0,2.243831464E1,9.619362544E0,1.298605814E1
3.873895969E2,6.501370143E1,2.550514273E1,1.888333144E1,1.420292305E0,1.911806442E1,9.619362480E0,1.313157663E1
3.883899236E2,6.501371234E1,2.550516101E1,1.887319597E1,1.321489985E0,2.359713918E1,9.619362526E0,1.297468062E1
3.893900888E2,6.501372799E1,2.550516044E1,1.825905423E1,1.390533503E0,1.212623936E1,9.589519934E0,1.301021365E1
3.903900846E2,6.501373858E1,2.550516398E1,1.763197147E1,1.257874822E0,1.377945860E1,9.589519985E0,1.280001191E1
3.913901982E2,6.501375617E1,2.550516339E1,1.758850923E1,1.472962739E0,1.119251515E1,9.790558825E0,1.301831204E1
3.923902102E2,6.501377393E1,2.550516013E1,1.738244267E1,1.462896162E0,9.251907423E0,9.790558763E0,1.335026065E1
3.933902062E2,6.501378790E1,2.550516425E1,1.719006682E1,1.461815807E0,7.009780702E0,9.768052971E0,1.298561495E1
3.943899906E2,6.501380264E1,2.550516541E1,1.650401975E1,1.491611225E0,7.222156005E0,9.933391487E0,1.308829121E1
3.953903685E2,6.501381688E1,2.550516879E1,1.645608144E1,1.590387179E0,5.443520815E0,9.894238924E0,1.354313925E1
3.963903644E2,6.501383007E1,2.550517155E1,1.625552838E1,1.470065330E0,3.508425192E0,1.013775589E1,1.354281394E1
3.973901219E2,6.501384246E1,2.550517818E1,1.623394216E1,1.407583216E0,8.586236453E0,1.013623611E1,1.360434100E1
3.983902724E2,6.501385494E1,2.550518456E1,1.581043252E1,1.329245992E0,7.631844661E0,1.007914105E1,1.349988701E1
3.993902682E2,6.501387252E1,2.550518984E1,1.609478390E1,1.507966449E0,1.117244512E1,1.007914100E1,1.366333252E1
4.003902643E2,6.501388322E1,2.550520044E1,1.617796294E1,1.248900082E0,1.867838188E1,1.020779379E1,1.367779548E1
4.013902596E2,6.501389981E1,2.550520047E1,1.615866351E1,1.441504673E0,7.600233263E0,1.028380872E1,1.372787926E1
4.023902546E2,6.501391493E1,2.550521197E1,1.626885077E1,1.416802711E0,1.135105547E1,1.028405938E1,1.356234763E1
4.033902503E2,6.501393110E1,2.550521392E1,1.628169821E1,1.424961511E0,9.970084744E0,1.041686115E1,1.336520311E1
4.043902467E2,6.501394575E1,2.550521368E1,1.629120427E1,1.365133680E0,5.838848592E0,1.035503182E1,1.339986617E1
4.053902423E2,6.501396362E1,2.550521124E1,1.585243392E1,1.308564012E0,5.302379476E0,1.034067663E1,1.384667724E1
4.063902377E2,6.501397959E1,2.550521519E1,1.575423224E1,1.432736885E0,7.909639093E-1,1.028708917E1,1.348468082E1
4.073902332E2,6.501398917E1,2.550521999E1,1.588738286E1,1.173891323E0,3.587498294E2,1.013154919E1,1.311078244E1
4.083902289E2,6.501400209E1,2.550522779E1,1.580176650E1,1.235282383E0,7.901972697E-1,1.013901121E1,1.307839888E1
4.093902248E2,6.501401589E1,2.550523366E1,1.603825477E1,1.467067948E0,3.939151913E0,1.003896802E1,1.358398556E1
